,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
0,6.0,11.0,15.0,18.0,21.0,36.0,43.0,47.0,72.0,71.0,92.0,116.0,145.0,83.0,80.0,56.0,63.0,28.0
1,5.0,9.0,16.0,13.0,13.0,16.0,24.0,20.0,26.0,45.0,45.0,53.0,81.0,87.0,58.0,73.0,53.0,31.0
2,3.0,14.0,16.0,15.0,25.0,34.0,33.0,32.0,45.0,51.0,62.0,55.0,64.0,66.0,58.0,46.0,46.0,18.0
3,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0
4,43.0,169.0,186.0,130.0,100.0,61.0,71.0,58.0,58.0,65.0,49.0,42.0,44.0,23.0,15.0,13.0,11.0,5.0
5,22.0,88.0,146.0,212.0,158.0,139.0,88.0,108.0,70.0,60.0,48.0,34.0,38.0,32.0,26.0,21.0,14.0,8.0
6,0.0,3.0,5.0,9.0,7.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0
7,2.0,6.0,10.0,13.0,10.0,8.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
