,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
1,3.0,6.0,13.0,12.0,17.0,26.0,38.0,41.0,54.0,59.0,69.0,103.0,116.0,94.0,60.0,55.0,47.0,29.0
2,1.0,2.0,7.0,7.0,8.0,8.0,9.0,11.0,12.0,21.0,19.0,18.0,25.0,23.0,13.0,14.0,13.0,9.0
3,5.0,18.0,27.0,24.0,29.0,37.0,46.0,53.0,59.0,78.0,89.0,90.0,120.0,137.0,109.0,105.0,93.0,49.0
4,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0
5,30.0,127.0,145.0,112.0,65.0,54.0,48.0,47.0,47.0,50.0,44.0,42.0,33.0,26.0,16.0,12.0,11.0,6.0
6,4.0,34.0,22.0,10.0,10.0,8.0,5.0,6.0,4.0,6.0,6.0,6.0,7.0,8.0,6.0,5.0,4.0,3.0
7,5.0,9.0,18.0,35.0,49.0,26.0,23.0,15.0,10.0,12.0,6.0,5.0,5.0,6.0,3.0,3.0,2.0,2.0
8,3.0,51.0,120.0,185.0,154.0,118.0,94.0,90.0,79.0,63.0,40.0,31.0,26.0,21.0,14.0,12.0,9.0,4.0
