,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
0,31.0,48.0,11.0,58.0,59.0,49.0,20.0,29.0,50.0,41.0,35.0,21.0,62.0,52.0,31.0,6.0,31.0,15.0
1,22.0,6.0,54.0,64.0,58.0,14.0,37.0,39.0,48.0,31.0,33.0,36.0,60.0,41.0,18.0,25.0,28.0,12.0
2,20.0,7.0,66.0,73.0,24.0,44.0,26.0,49.0,34.0,35.0,26.0,60.0,48.0,41.0,19.0,38.0,32.0,13.0
3,3.0,29.0,75.0,66.0,12.0,41.0,33.0,47.0,24.0,36.0,31.0,55.0,45.0,22.0,26.0,36.0,31.0,8.0
4,3.0,43.0,74.0,31.0,42.0,42.0,49.0,41.0,16.0,29.0,51.0,48.0,41.0,22.0,42.0,34.0,25.0,3.0
5,1.0,49.0,69.0,8.0,55.0,40.0,44.0,19.0,37.0,38.0,48.0,41.0,37.0,35.0,39.0,32.0,16.0,17.0
6,0.0,52.0,41.0,38.0,41.0,41.0,45.0,19.0,25.0,53.0,41.0,38.0,25.0,36.0,37.0,30.0,4.0,15.0
7,0.0,51.0,8.0,66.0,52.0,47.0,18.0,37.0,34.0,49.0,33.0,37.0,40.0,50.0,33.0,17.0,21.0,13.0
