,0600,0700,0800,0900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,lights,distance
0,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,7,7,0,3.183
1,5,5,6,7,8,6,6,6,7,7,7,9,10,6,6,5,5,5,3,1.608
2,5,5,6,6,6,6,6,6,6,6,6,7,7,6,5,5,5,5,3,0.984
3,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,7,6,6,1,2.013
4,7,7,8,8,7,7,6,7,7,7,7,6,7,6,6,6,5,5,1,1.816
5,4,5,5,5,5,5,5,4,4,5,6,6,6,5,4,4,3,3,3,1.2
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1.076
7,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0.542
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,2.267
